peer_addr = 127.0.0.1:5555
test begin!

BlockID  bct  BlockSize  Priority  Deadline
2581          0       1285          1        200
2585          0      31035          2        200
2589          0       1315          1        200
2593          0       1300          1        200
2597          1      53040          2        200
2601          0       1305          1        200
2605          0       1305          1        200
2609          0      32030          2        200
2613          1       1335          1        200
2617          1       1290          1        200
2621          4      91920          2        200
2625          1       1260          1        200
2629          1       1320          1        200
2633          1      31315          2        200
2637          0       1290          1        200
2641          0       1270          1        200
2645          2      52790          2        200
2649          0       1260          1        200
2653          0       1275          1        200
2657          1      29335          2        200
2661          0       1280          1        200
2665          0       1335          1        200
2669          2      97615          2        200
2673          0       1265          1        200
2677          0       1285          1        200
2681          1      32725          2        200
2685          0       1270          1        200
2689          0       1345          1        200
2693          1      53150          2        200
2697          0       1420          1        200
2701          0       1810          1        200
2705          1      30085          2        200
2709          0       1300          1        200
2713          1       1295          1        200
2717          2      85020          2        200
2721          1       1285          1        200
2725          1       1180          1        200
2733          1       1140          1        200
2729          1      31280          2        200
2737          0       1200          1        200
2741          1      53555          2        200
2745          1       1120          1        200
2749          0       1205          1        200
2753          1      30930          2        200
2757          1       1190          1        200
2761          0       1205          1        200
2765          2      86340          2        200
2769          2       1185          1        200
2773          1      31165          2        200
2777          0       1150          1        200
2781          0       1290          1        200
2785          1      52350          2        200
2793          0       1280          1        200
2789          0       1190          1        200
2797          0      31005          2        200
2805          0       1260          1        200
2801          0       1225          1        200
2809          1      77730          2        200
2817          0       1255          1        200
2813          0       1250          1        200
2821          1      33265          2        200
2825          1       1250          1        200
2829          1       1250          1        200
2833          1      52350          2        200
2837          1       1270          1        200
2841          0       1270          1        200
2845          1      35020          2        200
2849          0       1300          1        200
2853          0       1235          1        200
2857          1      65795          2        200
2861          0       1260          1        200
2865          0       1250          1        200
2869          1      33940          2        200
2873          0       1270          1        200
2877          0       1260          1        200
2881          1      56125          2        200
2885          0       1315          1        200
2889          0       1265          1        200
2893          0      40675          2        200
2897          0       1245          1        200
2901          0       1280          1        200
2905          1      50000          2        200
2909          0       1250          1        200
2913          0       1290          1        200
2917          1      42190          2        200
2921          0       1290          1        200
2925          1       1305          1        200
2933          0       1270          1        200
2929         21    1000000          2        200
2937          0       1300          1        200
2941          1       8835          2        200
2945          1       1270          1        200
2949          1       1295          1        200
2953          0       5600          2        200
2957          0       1260          1        200
2961          0       1260          1        200
2965          1      92610          2        200
2969          0       1310          1        200
2973          0       1275          1        200
2977          0       6870          2        200
2981          1       1265          1        200
2985          0       1250          1        200
2993          0       1305          1        200
2989          0      12090          2        200
2997          0       1255          1        200
3005          0       1255          1        200
3001          0       9080          2        200
3009          0       1280          1        200
3017          1       1300          1        200
3013          1      72260          2        200
3021          0       1335          1        200
3025          1       6690          2        200
3029          0       1340          1        200
3033          0      13030          2        200
3037          0       1270          1        200
3041          0       1315          1        200
3045          1       7965          2        200
3049          0       1310          1        200
3053          0       1305          1        200
3057          1      72960          2        200
3061          1       1245          1        200
3065          1       1275          1        200
3069          1       8215          2        200
3077          0       1250          1        200
3073          0       1275          1        200
3081          0      12140          2        200
3085          0       1305          1        200
3089          0       1295          1        200
3093          1       6445          2        200
3097          0       1260          1        200
3101          0       1290          1        200
3105          1      66780          2        200
3109          0       1315          1        200
3113          0       1335          1        200
3117          0       7305          2        200
3121          0       1275          1        200
3125          0       1270          1        200
3129          0      11590          2        200
3133          0       1255          1        200
3137          0       1330          1        200
3141          0       6940          2        200
3145          1       1270          1        200
3149          1       1250          1        200
3153          0      60500          2        200
3157          0       1255          1        200
3161          1       1290          1        200
3165          1       6465          2        200
3169          1       1300          1        200
3173          0       1305          1        200
3177          1      11740          2        200
3181          0       1275          1        200
3185          0       1270          1        200
3189          0       6010          2        200
3193          0       1285          1        200
3197          0       1245          1        200
3201          1      55965          2        200
3205          0       1275          1        200
3209          0       1320          1        200
3213          0       6865          2        200
3217          0       1295          1        200
3221          0       1240          1        200
3225          1      54495          2        200
3229          1       1290          1        200
3233          0       1270          1        200
3241          0       1340          1        200
3237          0       7775          2        200
3245          0       1275          1        200
3249          0      19075          2        200
3253          0       1260          1        200
3257          0       1275          1        200
3265          0       1260          1        200
3261          0       6370          2        200
3269          0       1290          1        200
3273          1      73835          2        200
3277          1       1285          1        200
3281          0       1345          1        200
3285          0       8630          2        200
3289          0       1250          1        200
3293          0      16875          2        200
3297          0       1290          1        200
3301          0       1355          1        200
3305          0       7090          2        200
3313          0       1255          1        200
3309          0       1275          1        200
3317          1      63230          2        200
3325          0       1265          1        200
3321          0       1295          1        200
3329          0       6535          2        200
3337          0       1255          1        200
3333          0       1295          1        200
3341          0      15720          2        200
3345          0       1325          1        200
3349          0       1340          1        200
3353          0       6450          2        200
3361          1       1285          1        200
3357          2       1265          1        200
3365          1      53595          2        200
3369          0       1245          1        200
3373          0       1265          1        200
3377          0       7520          2        200
3381          0       1295          1        200
3385          1       1240          1        200
3389          1      18410          2        200
3393          1       1275          1        200
3397          1       1240          1        200
3401          1       6315          2        200
3405          1       1280          1        200
3409          0       1285          1        200
3413          1      50150          2        200
3417          1       1275          1        200
3421          0       1300          1        200
3425          1       8595          2        200
3429          0       1290          1        200
3433          0       1335          1        200
3437          0      17280          2        200
3441          0       1275          1        200
3445          0       1270          1        200
3449          0       9025          2        200
3453          0       1305          1        200
3457          0       1300          1        200
3461          1      51510          2        200
3465          0       1275          1        200
3469          0       1270          1        200
3473          0       7670          2        200
3477          0       1255          1        200
3481          0       1315          1        200
3485          1      17895          2        200
3489          0       1260          1        200
3493          1       1290          1        200
3497          1       8165          2        200
3501          1       1260          1        200
3505          0       1285          1        200
3513          0       1270          1        200
3509          1      43495          2        200
3517          0       1285          1        200
3521          1      10905          2        200
3525          1       1260          1        200
3529          1       1285          1        200
3533          1      15270          2        200
3537          1       1315          1        200
3541          0       1265          1        200
3549          1       1295          1        200
3545          1       8630          2        200
3553          1       1295          1        200
3557          1      31550          2        200
3561          1       1345          1        200
3565          1       9625          2        200
3573          0       1230          1        200
3569          0       1270          1        200
3577          1      13875          2        200
3581          1       1305          1        200
3585          1       1280          1        200
3589          0       8455          2        200
3593          0       1220          1        200
3597          0       1280          1        200
3601          1      20460          2        200
3605          1       1305          1        200
3609          1       1285          1        200
3613          1      12750          2        200
3617          1       1245          1        200
3621          1       1280          1        200
3625          1      21490          2        200
3629          1       1280          1        200
3633          2       1315          1        200
3641          0       1305          1        200
3637         21    1000000          2        200
3645          0       1265          1        200
3649          0       5440          2        200
3653          0       1315          1        200
3657          0       1315          1        200
3661          0       1515          2        200
3665          0       1265          1        200
3669          0       1290          1        200
3673          3     208725          2        200
3677          0       1280          1        200
3681          0       1260          1        200
3685          0       2000          2        200
3689          0       1280          1        200
3693          0       1300          1        200
3697          0       5785          2        200
3701          1       1285          1        200
3705          1       1300          1        200
3709          1       3340          2        200
3713          1       1260          1        200
3717          0       1250          1        200
3721          2     116320          2        200
3725          0       1285          1        200
3729          1       1300          1        200
3733          0       2730          2        200
3737          0       1285          1        200
3741          0       1275          1        200
3745          1       4130          2        200
3749          0       1280          1        200
3753          0       1300          1        200
3757          1       1910          2        200
3761          0       1220          1        200
3765          0       1495          1        200
3769          1      68175          2        200
3773          1       1270          1        200
3777          0       1250          1        200
3781          0       2815          2        200
3785          1       1280          1        200
3789          1       1235          1        200
3793          1       4290          2        200
3797          1       1230          1        200
3801          1       1240          1        200
3809          1       1240          1        200
3805          1       1270          2        200
3813          1       1190          1        200
3817          1      65440          2        200
3821          1       1240          1        200
3825          1       2060          2        200
3829          0       1235          1        200
3833          0       1235          1        200
3837          0        690          2        200
3845          0       1270          1        200
3841          0       1265          1        200
3849          1      23445          2        200
3853          0       1385          1        200
3857          0       1445          1        200
3861          1       2090          2        200
3865          1       1235          1        200
3869          1       1200          1        200
3873          1       1150          2        200
3881          0       1320          1        200
3877          0       1265          1        200
3885          1      24645          2        200
3889          1       1285          1        200
3893          0       1380          1        200
3897          0       1125          2        200
3901          0       1385          1        200
3905          0       1345          1        200
3909          0       3715          2        200
3913          0       1395          1        200
3917          0       1330          1        200
3921          0       1035          2        200
3925          0       1245          1        200
3929          0       1270          1        200
3933          1      59100          2        200
3937          0       1485          1        200
3941          0       1165          1        200
3945          0       1815          2        200
3949          0       1195          1        200
3953          1       1245          1        200
3957          1       3970          2        200
3961          1       1225          1        200
3965          1       1290          1        200
3969          1        925          2        200
3973          1       1260          1        200
3977          1       1210          1        200
3981          1      71165          2        200
3985          1       1180          1        200
3989          0       1230          1        200
3993          0       1180          2        200
3997          0       1235          1        200
4001          0       1245          1        200
4005          0       3140          2        200
4009          0       1230          1        200
4013          0       1220          1        200
4017          0       1235          2        200
4021          0       1315          1        200
4025          0       1255          1        200
4029          1      46045          2        200
4033          2       1825          1        200
4037          0       1125          1        200
4041          0       1105          2        200
4045          0       1185          1        200
4049          0       1195          1        200
4053          0       2755          2        200
4057          0       1225          1        200
4061          0       1300          1        200
4069          0       1245          1        200
4065          0        995          2        200
4073          0       1275          1        200
4077          1      36340          2        200
4081          1       1965          1        200
4085          0       1155          2        200
4093          0       1125          1        200
4089          0       1135          1        200
4097          0       2220          2        200
4105          0       1195          1        200
4101          0       1180          1        200
4109          0       1165          2        200
4117          0       1265          1        200
4113          0       1200          1        200
4121          1      28855          2        200
4125          1       1405          1        200
4129          1       1240          1        200
4133          0        870          2        200
4141          0       1165          1        200
4137          0       1180          1        200
4145          0       2310          2        200
4153          0       1200          1        200
4149          0       1190          1        200
4157          0        925          2        200
4161          0       1230          1        200
4165          0       1250          1        200
4169          0      21870          2        200
4173          0       1235          1        200
4177          0       1245          1        200
4181          0       1560          2        200
4185          1       1325          1        200
4189          0       1385          1        200
4193          1       4640          2        200
4197          1       1355          1        200
4201          1       1320          1        200
4205          1       4000          2        200
4209          0       1360          1        200
4213          0       1315          1        200
4217          1      74385          2        200
4221          0       1270          1        200
4225          0       1255          1        200
4229          0       3030          2        200
4233          0       1195          1        200
4237          0       1235          1        200
4241          0       4455          2        200
4245          0       1190          1        200
4249          0       1155          1        200
4253          0       2690          2        200
connection closed
recv,sent,lost,rtt(ms),cwnd,total_bytes,complete_bytes,good_bytes,total_time(us)
22656,8966,0,3.035950,14520,29244304,27882925,27882925,19514950
